Centro Nacional de Control de Energia
Precios Marginales Locales del MTR (Calculo ExPost) 
Sistema Interconectado Nacional
Reporte diario
Fecha: 12/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 15:53:13 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2,01ANU-115,1404.67,1328.59,76.08,0
3,01ANU-115,1192.89,1129.97,62.93,0
4,01ANU-115,1264.51,1198.05,66.47,0
5,01ANU-115,1236.03,1168.83,67.2,0
6,01ANU-115,1191.67,1124.05,67.62,0
7,01ANU-115,1548.31,1459.34,88.97,0
8,01ANU-115,2392.08,2263.33,128.75,0
9,01ANU-115,2585.05,2467.91,117.14,0
10,01ANU-115,2530.73,2434.36,96.38,0
11,01ANU-115,2851.68,2772.97,78.71,0
12,01ANU-115,2843.14,2769.26,73.88,0
13,01ANU-115,2484.34,2413,71.33,0
14,01ANU-115,2869.25,2790.45,78.8,0
15,01ANU-115,3031.16,2936.67,94.49,0
16,01ANU-115,3312.97,3207.34,105.64,0
17,01ANU-115,3621.59,3503.28,118.32,0
18,01ANU-115,3279.38,3166.75,112.63,0
19,01ANU-115,2728.87,2634.21,94.66,0
20,01ANU-115,2300.97,2212.98,87.99,0
21,01ANU-115,2717.13,2603.48,113.65,0
22,01ANU-115,2991.47,2859.27,132.21,0
23,01ANU-115,2797.21,2692.28,104.93,0
24,01ANU-115,2396.26,2303.78,92.48,0
1,01ANU-69,2244.4,2114.11,130.3,0
2,01ANU-69,1404.67,1328.59,76.08,0
3,01ANU-69,1192.89,1129.97,62.93,0
4,01ANU-69,1264.51,1198.05,66.47,0
5,01ANU-69,1236.03,1168.83,67.2,0
6,01ANU-69,1191.67,1124.05,67.62,0
7,01ANU-69,1548.31,1459.34,88.97,0
8,01ANU-69,2392.08,2263.33,128.75,0
9,01ANU-69,2585.05,2467.91,117.14,0
10,01ANU-69,2530.73,2434.36,96.38,0
11,01ANU-69,2851.68,2772.97,78.71,0
12,01ANU-69,2843.14,2769.26,73.88,0
13,01ANU-69,2484.34,2413,71.33,0
14,01ANU-69,2869.25,2790.45,78.8,0
15,01ANU-69,3031.16,2936.67,94.49,0
16,01ANU-69,3312.97,3207.34,105.64,0
17,01ANU-69,3621.59,3503.28,118.32,0
18,01ANU-69,3279.38,3166.75,112.63,0
19,01ANU-69,2728.87,2634.21,94.66,0
20,01ANU-69,2300.97,2212.98,87.99,0
21,01ANU-69,2717.13,2603.48,113.65,0
22,01ANU-69,2991.47,2859.27,132.21,0
23,01ANU-69,2797.21,2692.28,104.93,0
24,01ANU-69,2396.26,2303.78,92.48,0
1,01ARA-85,2170.58,2114.11,56.48,0
2,01ARA-85,1362.17,1328.59,33.58,0
3,01ARA-85,1156.65,1129.97,26.68,0
4,01ARA-85,1228.64,1198.05,30.59,0
5,01ARA-85,1199.68,1168.83,30.85,0
6,01ARA-85,1158.06,1124.05,34.01,0
7,01ARA-85,1502.31,1459.34,42.97,0
8,01ARA-85,2318.86,2263.33,55.54,0
9,01ARA-85,2499.31,2467.91,31.4,0
10,01ARA-85,2443.65,2434.36,9.29,0
11,01ARA-85,2780.05,2772.97,7.08,0
12,01ARA-85,2777.94,2769.26,8.68,0
13,01ARA-85,2430,2413,17,0
14,01ARA-85,2812.34,2790.45,21.89,0
15,01ARA-85,2974.43,2936.67,37.75,0
16,01ARA-85,3250.19,3207.34,42.85,0
17,01ARA-85,3551.25,3503.28,47.98,0
18,01ARA-85,3218.57,3166.75,51.82,0
19,01ARA-85,2681.04,2634.21,46.84,0
20,01ARA-85,2262.29,2212.98,49.32,0
21,01ARA-85,2675.91,2603.48,72.43,0
22,01ARA-85,2930.44,2859.27,71.17,0
23,01ARA-85,2726.62,2692.28,34.34,0
24,01ARA-85,2325.36,2303.78,21.58,0
1,01ARX-230,2134.63,2114.11,20.52,0
2,01ARX-230,1340.31,1328.59,11.72,0
3,01ARX-230,1138.75,1129.97,8.78,0
4,01ARX-230,1209.22,1198.05,11.17,0
5,01ARX-230,1180.56,1168.83,11.74,0
6,01ARX-230,1137.9,1124.05,13.85,0
7,01ARX-230,1476.9,1459.34,17.56,0
8,01ARX-230,2279.27,2263.33,15.95,0
9,01ARX-230,2465.69,2467.91,-2.23,0
10,01ARX-230,2404.33,2434.36,-30.03,0
11,01ARX-230,2733.99,2772.97,-38.98,0
12,01ARX-230,2730.68,2769.26,-38.58,0
13,01ARX-230,2385.95,2413,-27.06,0
14,01ARX-230,2761.07,2790.45,-29.38,0
15,01ARX-230,2916.84,2936.67,-19.83,0
16,01ARX-230,3185.98,3207.34,-21.36,0
17,01ARX-230,3480.76,3503.28,-22.52,0
18,01ARX-230,3151.89,3166.75,-14.86,0
19,01ARX-230,2624.8,2634.21,-9.4,0
20,01ARX-230,2213.3,2212.98,.32,0
21,01ARX-230,2618.44,2603.48,14.97,0
22,01ARX-230,2867.49,2859.27,8.22,0
23,01ARX-230,2676.68,2692.28,-15.61,0
24,01ARX-230,2296.43,2303.78,-7.35,0
1,01ASK-230,2134.84,2114.11,20.74,0
2,01ASK-230,1341.5,1328.59,12.91,0
3,01ASK-230,1144.3,1129.97,14.33,0
4,01ASK-230,1216.37,1198.05,18.32,0
5,01ASK-230,1186.71,1168.83,17.88,0
6,01ASK-230,1144.14,1124.05,20.09,0
7,01ASK-230,1476.18,1459.34,16.84,0
8,01ASK-230,2277.5,2263.33,14.17,0
9,01ASK-230,2454.03,2467.91,-13.89,0
10,01ASK-230,2398.64,2434.36,-35.71,0
11,01ASK-230,2731.16,2772.97,-41.8,0
