Centro Nacional de Control de Energia
Precios Marginales Locales del MTR (Calculo ExPost) 
Sistema Interconectado Baja California
Reporte diario
Fecha: 12/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 13:51:04 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
11,07CSC-230,464.52,481.97,-17.45,0
12,07CSC-230,486.46,503.98,-17.52,0
13,07CSC-230,460.85,476.88,-16.04,0
14,07CSC-230,442.1,458.33,-16.24,0
15,07CSC-230,437.97,451.75,-13.78,0
16,07CSC-230,446.96,457.29,-10.33,0
17,07CSC-230,457.86,466.99,-9.13,0
18,07CSC-230,484.44,495.07,-10.62,0
19,07CSC-230,472.99,484.05,-11.06,0
20,07CSC-230,496.02,508.55,-12.53,0
21,07CSC-230,474.31,486.17,-11.86,0
22,07CSC-230,479.57,490.79,-11.22,0
23,07CSC-230,473.97,485.04,-11.07,0
24,07CSC-230,470.33,480.09,-9.76,0
1,07CTY-161,452.2,461.73,-9.53,0
2,07CTY-161,422.08,431.18,-9.1,0
3,07CTY-161,421.99,431.86,-9.88,0
4,07CTY-161,421.63,432.32,-10.7,0
5,07CTY-161,421.51,432.85,-11.34,0
6,07CTY-161,421.66,434.27,-12.61,0
7,07CTY-161,456.86,468.68,-11.83,0
8,07CTY-161,452.27,467.58,-15.31,0
9,07CTY-161,453.42,468.39,-14.97,0
10,07CTY-161,453.02,468.47,-15.45,0
11,07CTY-161,466.83,481.97,-15.14,0
12,07CTY-161,489,503.98,-14.98,0
13,07CTY-161,463.47,476.88,-13.42,0
14,07CTY-161,445.01,458.33,-13.32,0
15,07CTY-161,440.87,451.75,-10.88,0
16,07CTY-161,449.98,457.29,-7.31,0
17,07CTY-161,460.93,466.99,-6.06,0
18,07CTY-161,487.55,495.07,-7.52,0
19,07CTY-161,475.99,484.05,-8.06,0
20,07CTY-161,499.18,508.55,-9.38,0
21,07CTY-161,477.36,486.17,-8.81,0
22,07CTY-161,482.61,490.79,-8.18,0
23,07CTY-161,476.89,485.04,-8.15,0
24,07CTY-161,472.57,480.09,-7.52,0
1,07CTY-230,452.56,461.73,-9.17,0
2,07CTY-230,422.3,431.18,-8.87,0
3,07CTY-230,422.13,431.86,-9.74,0
4,07CTY-230,421.71,432.32,-10.62,0
5,07CTY-230,421.57,432.85,-11.27,0
6,07CTY-230,421.73,434.27,-12.54,0
7,07CTY-230,456.95,468.68,-11.73,0
8,07CTY-230,452.37,467.58,-15.22,0
9,07CTY-230,453.54,468.39,-14.85,0
10,07CTY-230,453.07,468.47,-15.4,0
11,07CTY-230,466.83,481.97,-15.14,0
12,07CTY-230,489.03,503.98,-14.95,0
13,07CTY-230,463.54,476.88,-13.34,0
14,07CTY-230,445.09,458.33,-13.24,0
15,07CTY-230,441.05,451.75,-10.69,0
16,07CTY-230,450.21,457.29,-7.07,0
17,07CTY-230,461.22,466.99,-5.77,0
18,07CTY-230,487.99,495.07,-7.07,0
19,07CTY-230,476.41,484.05,-7.64,0
20,07CTY-230,499.54,508.55,-9.01,0
21,07CTY-230,477.73,486.17,-8.44,0
22,07CTY-230,483.06,490.79,-7.73,0
23,07CTY-230,477.33,485.04,-7.71,0
24,07CTY-230,473.1,480.09,-6.99,0
1,07DRA-69,463.8,461.73,2.07,0
2,07DRA-69,432.93,431.18,1.75,0
3,07DRA-69,433.56,431.86,1.7,0
4,07DRA-69,434.07,432.32,1.75,0
5,07DRA-69,434.62,432.85,1.77,0
6,07DRA-69,436.09,434.27,1.82,0
7,07DRA-69,471.01,468.68,2.33,0
8,07DRA-69,470,467.58,2.41,0
9,07DRA-69,471.02,468.39,2.63,0
10,07DRA-69,471.63,468.47,3.16,0
11,07DRA-69,485.53,481.97,3.56,0
12,07DRA-69,507.88,503.98,3.9,0
13,07DRA-69,480.44,476.88,3.56,0
14,07DRA-69,461.57,458.33,3.24,0
15,07DRA-69,455.2,451.75,3.46,0
