Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Baja California
Reporte diario
Fecha: 20/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 12:03:36 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2,07CNT-230,736.84,711.49,25.35,0
3,07CNT-230,689.6,671.98,17.61,0
4,07CNT-230,492.77,483.57,9.21,0
5,07CNT-230,476.76,472.41,4.35,0
6,07CNT-230,452.84,452.18,.66,0
7,07CNT-230,452.34,453.53,-1.19,0
8,07CNT-230,500.78,498.87,1.92,0
9,07CNT-230,509.42,506.72,2.7,0
10,07CNT-230,729.8,720.49,9.31,0
11,07CNT-230,753.96,737.81,16.15,0
12,07CNT-230,1045.65,1022.33,23.32,0
13,07CNT-230,841.03,822.52,18.51,0
14,07CNT-230,874.97,829.71,45.26,0
15,07CNT-230,1002.59,943.75,58.84,0
16,07CNT-230,788.34,738.02,50.32,0
17,07CNT-230,790.74,738.04,52.71,0
18,07CNT-230,930.6,870.45,60.15,0
19,07CNT-230,971.53,910.19,61.34,0
20,07CNT-230,882.16,826.73,55.42,0
21,07CNT-230,881.09,831.52,49.57,0
22,07CNT-230,881.78,831.18,50.6,0
23,07CNT-230,916.36,858.67,57.69,0
24,07CNT-230,861.61,800.72,60.89,0
1,07CNZ-161,747.98,704.27,43.71,0
2,07CNZ-161,744.41,711.49,32.92,0
3,07CNZ-161,696.24,671.98,24.26,0
4,07CNZ-161,497.37,483.57,13.8,0
5,07CNZ-161,480.96,472.41,8.55,0
6,07CNZ-161,456.59,452.18,4.41,0
7,07CNZ-161,455.98,453.53,2.45,0
8,07CNZ-161,505.13,498.87,6.27,0
9,07CNZ-161,513.78,506.72,7.06,0
10,07CNZ-161,736.76,720.49,16.27,0
11,07CNZ-161,761.32,737.81,23.51,0
12,07CNZ-161,1057.17,1022.33,34.85,0
13,07CNZ-161,851.26,822.52,28.75,0
14,07CNZ-161,888.59,829.71,58.89,0
15,07CNZ-161,1018.93,943.75,75.18,0
16,07CNZ-161,801.52,738.02,63.49,0
17,07CNZ-161,803.75,738.04,65.71,0
18,07CNZ-161,945.74,870.45,75.29,0
19,07CNZ-161,986.57,910.19,76.38,0
20,07CNZ-161,894.92,826.73,68.19,0
21,07CNZ-161,893.85,831.52,62.33,0
22,07CNZ-161,894.45,831.18,63.28,0
23,07CNZ-161,928.59,858.67,69.92,0
24,07CNZ-161,872.6,800.72,71.87,0
1,07COE-115,750.92,704.27,46.65,0
2,07COE-115,758.88,711.49,47.39,0
3,07COE-115,715.78,671.98,43.8,0
4,07COE-115,514.56,483.57,31,0
5,07COE-115,503.63,472.41,31.22,0
6,07COE-115,483.53,452.18,31.36,0
7,07COE-115,485.68,453.53,32.15,0
8,07COE-115,535.17,498.87,36.3,0
9,07COE-115,544.88,506.72,38.16,0
10,07COE-115,776.2,720.49,55.71,0
11,07COE-115,797.13,737.81,59.31,0
12,07COE-115,1110.56,1022.33,88.23,0
13,07COE-115,893.91,822.52,71.39,0
14,07COE-115,903.67,829.71,73.97,0
15,07COE-115,1027.99,943.75,84.24,0
16,07COE-115,800.59,738.02,62.57,0
17,07COE-115,799.22,738.04,61.19,0
18,07COE-115,944.39,870.45,73.94,0
19,07COE-115,986.36,910.19,76.17,0
20,07COE-115,894.31,826.73,67.57,0
21,07COE-115,903.78,831.52,72.26,0
22,07COE-115,901.38,831.18,70.2,0
23,07COE-115,926.55,858.67,67.88,0
24,07COE-115,856.93,800.72,56.2,0
1,07CPC-161,741.21,704.27,36.95,0
2,07CPC-161,737.74,711.49,26.25,0
3,07CPC-161,690.08,671.98,18.1,0
4,07CPC-161,492.95,483.57,9.39,0
5,07CPC-161,476.7,472.41,4.29,0
6,07CPC-161,452.57,452.18,.4,0
7,07CPC-161,451.95,453.53,-1.58,0
8,07CPC-161,500.62,498.87,1.75,0
9,07CPC-161,509.1,506.72,2.38,0
10,07CPC-161,729.72,720.49,9.23,0
11,07CPC-161,754,737.81,16.19,0
12,07CPC-161,1046.37,1022.33,24.04,0
13,07CPC-161,842.51,822.52,19.99,0
14,07CPC-161,879.59,829.71,49.88,0
15,07CPC-161,1008.48,943.75,64.73,0
16,07CPC-161,793.2,738.02,55.18,0
17,07CPC-161,795.56,738.04,57.53,0
18,07CPC-161,936.03,870.45,65.58,0
19,07CPC-161,976.56,910.19,66.37,0
20,07CPC-161,885.96,826.73,59.22,0
21,07CPC-161,884.86,831.52,53.33,0
22,07CPC-161,885.54,831.18,54.36,0
23,07CPC-161,919.65,858.67,60.98,0
24,07CPC-161,864.48,800.72,63.76,0
1,07CPD-230,741.62,704.27,37.35,0
2,07CPD-230,738.2,711.49,26.71,0
3,07CPD-230,690.48,671.98,18.5,0
4,07CPD-230,493.14,483.57,9.58,0
5,07CPD-230,476.88,472.41,4.47,0
6,07CPD-230,452.68,452.18,.5,0
7,07CPD-230,452,453.53,-1.54,0
8,07CPD-230,500.71,498.87,1.84,0
9,07CPD-230,508.51,506.72,1.79,0
10,07CPD-230,728.29,720.49,7.8,0
11,07CPD-230,752.03,737.81,14.22,0
12,07CPD-230,1043.59,1022.33,21.26,0
13,07CPD-230,840.01,822.52,17.49,0
14,07CPD-230,879.42,829.71,49.71,0
15,07CPD-230,1008.37,943.75,64.62,0
16,07CPD-230,793.19,738.02,55.17,0
17,07CPD-230,795.65,738.04,57.62,0
18,07CPD-230,936.14,870.45,65.69,0
19,07CPD-230,976.6,910.19,66.4,0
20,07CPD-230,885.95,826.73,59.21,0
21,07CPD-230,884.86,831.52,53.34,0
22,07CPD-230,885.63,831.18,54.45,0
23,07CPD-230,919.83,858.67,61.16,0
24,07CPD-230,864.86,800.72,64.13,0
1,07CPT-230,741.27,704.27,37,0
2,07CPT-230,737.85,711.49,26.36,0
3,07CPT-230,690.16,671.98,18.18,0
4,07CPT-230,492.91,483.57,9.35,0
5,07CPT-230,476.66,472.41,4.26,0
6,07CPT-230,452.48,452.18,.3,0
7,07CPT-230,451.81,453.53,-1.73,0
8,07CPT-230,500.5,498.87,1.63,0
9,07CPT-230,508.4,506.72,1.68,0
10,07CPT-230,728.2,720.49,7.71,0
11,07CPT-230,752.03,737.81,14.22,0
12,07CPT-230,1043.6,1022.33,21.27,0
13,07CPT-230,839.99,822.52,17.47,0
14,07CPT-230,878.93,829.71,49.23,0
15,07CPT-230,1007.82,943.75,64.07,0
16,07CPT-230,792.76,738.02,54.73,0
17,07CPT-230,795.23,738.04,57.19,0
18,07CPT-230,935.64,870.45,65.19,0
19,07CPT-230,976.09,910.19,65.9,0
20,07CPT-230,885.5,826.73,58.77,0
21,07CPT-230,884.41,831.52,52.89,0
22,07CPT-230,885.17,831.18,53.99,0
23,07CPT-230,919.34,858.67,60.67,0
24,07CPT-230,864.46,800.72,63.74,0
1,07CPU-161,742.14,704.27,37.87,0
2,07CPU-161,738.66,711.49,27.17,0
3,07CPU-161,690.93,671.98,18.95,0
4,07CPU-161,493.55,483.57,9.99,0
5,07CPU-161,477.28,472.41,4.87,0
6,07CPU-161,453.11,452.18,.93,0
7,07CPU-161,452.45,453.53,-1.08,0
8,07CPU-161,501.17,498.87,2.31,0
9,07CPU-161,509.6,506.72,2.89,0
10,07CPU-161,730.41,720.49,9.92,0
11,07CPU-161,754.68,737.81,16.87,0
12,07CPU-161,1047.34,1022.33,25.01,0
13,07CPU-161,843.31,822.52,20.79,0
14,07CPU-161,880.73,829.71,51.02,0
15,07CPU-161,1009.8,943.75,66.05,0
16,07CPU-161,794.26,738.02,56.24,0
17,07CPU-161,796.63,738.04,58.6,0
18,07CPU-161,937.28,870.45,66.83,0
19,07CPU-161,977.84,910.19,67.65,0
20,07CPU-161,887.08,826.73,60.35,0
21,07CPU-161,886,831.52,54.47,0
22,07CPU-161,886.69,831.18,55.51,0
23,07CPU-161,920.83,858.67,62.16,0
24,07CPU-161,865.56,800.72,64.84,0
1,07CRO-161,741.45,704.27,37.18,0
2,07CRO-161,738.41,711.49,26.92,0
3,07CRO-161,690.99,671.98,19.01,0
4,07CRO-161,493.7,483.57,10.14,0
5,07CRO-161,477.6,472.41,5.2,0
6,07CRO-161,453.59,452.18,1.41,0
7,07CRO-161,453.06,453.53,-.47,0
8,07CRO-161,501.73,498.87,2.86,0
9,07CRO-161,510.5,506.72,3.78,0
10,07CRO-161,731.58,720.49,11.09,0
11,07CRO-161,755.96,737.81,18.14,0
12,07CRO-161,1048.58,1022.33,26.25,0
13,07CRO-161,843.74,822.52,21.22,0
14,07CRO-161,878.41,829.71,48.7,0
15,07CRO-161,1006.69,943.75,62.94,0
16,07CRO-161,791.55,738.02,53.53,0
17,07CRO-161,793.95,738.04,55.92,0
18,07CRO-161,934.19,870.45,63.75,0
19,07CRO-161,975,910.19,64.81,0
20,07CRO-161,885,826.73,58.27,0
21,07CRO-161,883.82,831.52,52.3,0
22,07CRO-161,884.41,831.18,53.23,0
