Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Baja California Sur
Reporte diario
Fecha: 20/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 14:13:08 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
13,07CRE-115,1768.69,1705.23,63.47,0
14,07CRE-115,1824.26,1759.11,65.15,0
15,07CRE-115,1843.47,1779.86,63.61,0
16,07CRE-115,1933.05,1864.98,68.08,0
17,07CRE-115,2245.93,2165.69,80.24,0
18,07CRE-115,3248.59,3138.9,109.69,0
19,07CRE-115,2099.15,2029.85,69.3,0
20,07CRE-115,2053.71,1985.25,68.46,0
21,07CRE-115,2242.49,2165.62,76.87,0
22,07CRE-115,3340.71,3230.63,110.08,0
23,07CRE-115,2080.24,2012.77,67.47,0
24,07CRE-115,1920.11,1859.24,60.87,0
1,07DLC-115,1783.58,1717.42,66.17,0
2,07DLC-115,1830.73,1762.2,68.53,0
3,07DLC-115,1688.32,1627.65,60.68,0
4,07DLC-115,1561.86,1508.3,53.56,0
5,07DLC-115,1762.31,1702.79,59.53,0
6,07DLC-115,1748.78,1690.19,58.6,0
7,07DLC-115,1749.94,1690.78,59.16,0
8,07DLC-115,1764.49,1703.33,61.17,0
9,07DLC-115,1598.58,1539.01,59.56,0
10,07DLC-115,1750.36,1680.19,70.17,0
11,07DLC-115,1840.5,1762.82,77.68,0
12,07DLC-115,1735.44,1663.96,71.48,0
13,07DLC-115,1779.6,1705.23,74.37,0
14,07DLC-115,1835.61,1759.11,76.5,0
15,07DLC-115,1853.29,1779.86,73.43,0
16,07DLC-115,1943.67,1864.98,78.7,0
17,07DLC-115,2258.99,2165.69,93.31,0
18,07DLC-115,3264.36,3138.9,125.46,0
19,07DLC-115,2109.58,2029.85,79.73,0
20,07DLC-115,2065.52,1985.25,80.27,0
21,07DLC-115,2255.74,2165.62,90.12,0
22,07DLC-115,3356.56,3230.63,125.93,0
23,07DLC-115,2090.12,2012.77,77.36,0
24,07DLC-115,1930.14,1859.24,70.9,0
1,07DOM-115,1726.48,1717.42,9.07,0
2,07DOM-115,1767.67,1762.2,5.48,0
3,07DOM-115,1636.37,1627.65,8.72,0
4,07DOM-115,1536.96,1508.3,28.67,0
5,07DOM-115,1697.65,1702.79,-5.14,0
6,07DOM-115,1683.99,1690.19,-6.2,0
7,07DOM-115,1686.41,1690.78,-4.37,0
8,07DOM-115,1703.85,1703.33,.53,0
9,07DOM-115,1571.39,1539.01,32.38,0
10,07DOM-115,1689.53,1680.19,9.34,0
11,07DOM-115,1777.7,1762.82,14.88,0
12,07DOM-115,1685.64,1663.96,21.67,0
13,07DOM-115,1731.28,1705.23,26.05,0
14,07DOM-115,1790.74,1759.11,31.63,0
15,07DOM-115,1820.99,1779.86,41.14,0
16,07DOM-115,1907.71,1864.98,42.74,0
17,07DOM-115,2220.38,2165.69,54.69,0
18,07DOM-115,3216.33,3138.9,77.43,0
19,07DOM-115,2073.48,2029.85,43.63,0
20,07DOM-115,2021.23,1985.25,35.98,0
21,07DOM-115,2203.65,2165.62,38.04,0
22,07DOM-115,3306.97,3230.63,76.35,0
23,07DOM-115,2054.97,2012.77,42.2,0
24,07DOM-115,1887.85,1859.24,28.61,0
1,07ELP-230,1760.86,1717.42,43.44,0
2,07ELP-230,1806.39,1762.2,44.19,0
3,07ELP-230,1666.69,1627.65,39.05,0
4,07ELP-230,1542.73,1508.3,34.43,0
5,07ELP-230,1740.93,1702.79,38.14,0
6,07ELP-230,1727.72,1690.19,37.53,0
7,07ELP-230,1728.58,1690.78,37.8,0
8,07ELP-230,1742.54,1703.33,39.21,0
9,07ELP-230,1577.47,1539.01,38.45,0
10,07ELP-230,1725.73,1680.19,45.54,0
11,07ELP-230,1813.29,1762.82,50.47,0
12,07ELP-230,1711.11,1663.96,47.15,0
13,07ELP-230,1754.27,1705.23,49.04,0
14,07ELP-230,1809.5,1759.11,50.39,0
15,07ELP-230,1828.98,1779.86,49.12,0
16,07ELP-230,1917.54,1864.98,52.57,0
17,07ELP-230,2227.73,2165.69,62.05,0
18,07ELP-230,3223.68,3138.9,84.78,0
19,07ELP-230,2083.47,2029.85,53.62,0
20,07ELP-230,2038.31,1985.25,53.06,0
21,07ELP-230,2225.19,2165.62,59.58,0
22,07ELP-230,3315.8,3230.63,85.17,0
23,07ELP-230,2064.98,2012.77,52.22,0
24,07ELP-230,1906.44,1859.24,47.2,0
1,07ETR-115,1757.04,1717.42,39.63,0
2,07ETR-115,1797.87,1762.2,35.67,0
3,07ETR-115,1661.8,1627.65,34.15,0
4,07ETR-115,1539.8,1508.3,31.5,0
5,07ETR-115,1732.25,1702.79,29.47,0
6,07ETR-115,1719.56,1690.19,29.38,0
7,07ETR-115,1719.28,1690.78,28.5,0
8,07ETR-115,1732.63,1703.33,29.3,0
9,07ETR-115,1572.21,1539.01,33.2,0
10,07ETR-115,1717.13,1680.19,36.94,0
11,07ETR-115,1800.64,1762.82,37.82,0
12,07ETR-115,1704.82,1663.96,40.86,0
13,07ETR-115,1746.16,1705.23,40.93,0
14,07ETR-115,1801.22,1759.11,42.11,0
15,07ETR-115,1822.78,1779.86,42.93,0
16,07ETR-115,1909.41,1864.98,44.44,0
17,07ETR-115,2215.55,2165.69,49.86,0
18,07ETR-115,3211.68,3138.9,72.77,0
19,07ETR-115,2075.02,2029.85,45.17,0
20,07ETR-115,2027.33,1985.25,42.09,0
21,07ETR-115,2212.24,2165.62,46.63,0
22,07ETR-115,3303.63,3230.63,73.01,0
23,07ETR-115,2058.11,2012.77,45.34,0
24,07ETR-115,1902.07,1859.24,42.84,0
1,07GAO-115,1682.37,1717.42,-35.05,0
2,07GAO-115,1722.79,1762.2,-39.41,0
3,07GAO-115,1596.04,1627.65,-31.6,0
4,07GAO-115,1504.13,1508.3,-4.17,0
5,07GAO-115,1655.3,1702.79,-47.49,0
6,07GAO-115,1642.08,1690.19,-48.11,0
7,07GAO-115,1644.45,1690.78,-46.33,0
8,07GAO-115,1661.03,1703.33,-42.3,0
9,07GAO-115,1536.71,1539.01,-2.31,0
10,07GAO-115,1645.79,1680.19,-34.4,0
11,07GAO-115,1730.97,1762.82,-31.85,0
12,07GAO-115,1641.01,1663.96,-22.95,0
13,07GAO-115,1685.36,1705.23,-19.87,0
14,07GAO-115,1743.11,1759.11,-16,0
15,07GAO-115,1772.29,1779.86,-7.57,0
16,07GAO-115,1856.59,1864.98,-8.39,0
17,07GAO-115,2160.56,2165.69,-5.13,0
18,07GAO-115,3130.56,3138.9,-8.34,0
19,07GAO-115,2018.59,2029.85,-11.26,0
20,07GAO-115,1967.81,1985.25,-17.44,0
21,07GAO-115,2145.75,2165.62,-19.87,0
22,07GAO-115,3218.91,3230.63,-11.72,0
23,07GAO-115,2000.31,2012.77,-12.46,0
24,07GAO-115,1838.14,1859.24,-21.1,0
1,07INS-115,1724.95,1717.42,7.53,0
2,07INS-115,1766.1,1762.2,3.9,0
3,07INS-115,1634.92,1627.65,7.27,0
4,07INS-115,1535.64,1508.3,27.34,0
5,07INS-115,1696.17,1702.79,-6.62,0
6,07INS-115,1682.53,1690.19,-7.65,0
7,07INS-115,1685.01,1690.78,-5.77,0
8,07INS-115,1702.45,1703.33,-.88,0
9,07INS-115,1570.03,1539.01,31.02,0
10,07INS-115,1688.04,1680.19,7.85,0
11,07INS-115,1776.08,1762.82,13.26,0
12,07INS-115,1684.07,1663.96,20.11,0
13,07INS-115,1729.69,1705.23,24.46,0
14,07INS-115,1789.03,1759.11,29.92,0
15,07INS-115,1819.18,1779.86,39.32,0
16,07INS-115,1905.88,1864.98,40.9,0
17,07INS-115,2218.2,2165.69,52.51,0
18,07INS-115,3213.24,3138.9,74.34,0
19,07INS-115,2071.51,2029.85,41.66,0
20,07INS-115,2019.28,1985.25,34.03,0
21,07INS-115,2201.65,2165.62,36.03,0
22,07INS-115,3303.95,3230.63,73.33,0
23,07INS-115,2053.09,2012.77,40.32,0
24,07INS-115,1886.19,1859.24,26.95,0
1,07LAP-115,1718.22,1717.42,.81,0
2,07LAP-115,1760.89,1762.2,-1.31,0
3,07LAP-115,1629.35,1627.65,1.7,0
4,07LAP-115,1524.63,1508.3,16.33,0
5,07LAP-115,1693.85,1702.79,-8.94,0
6,07LAP-115,1680.69,1690.19,-9.5,0
7,07LAP-115,1682.24,1690.78,-8.54,0
8,07LAP-115,1696.82,1703.33,-6.51,0
9,07LAP-115,1554.96,1539.01,15.94,0
10,07LAP-115,1678.03,1680.19,-2.16,0
11,07LAP-115,1763.45,1762.82,.63,0
12,07LAP-115,1669.79,1663.96,5.83,0
13,07LAP-115,1714.51,1705.23,9.28,0
14,07LAP-115,1772.09,1759.11,12.98,0
15,07LAP-115,1800.67,1779.86,20.81,0
16,07LAP-115,1885.6,1864.98,20.63,0
17,07LAP-115,2193.69,2165.69,28.01,0
18,07LAP-115,3181.28,3138.9,42.37,0
19,07LAP-115,2053.12,2029.85,23.27,0
20,07LAP-115,2002.86,1985.25,17.61,0
21,07LAP-115,2183.87,2165.62,18.25,0
22,07LAP-115,3272.06,3230.63,41.43,0
23,07LAP-115,2035.14,2012.77,22.37,0
24,07LAP-115,1872.65,1859.24,13.41,0
1,07LPZ-115,1734.89,1717.42,17.47,0
2,07LPZ-115,1776.57,1762.2,14.37,0
3,07LPZ-115,1642.27,1627.65,14.62,0
4,07LPZ-115,1522.52,1508.3,14.22,0
5,07LPZ-115,1713.61,1702.79,10.82,0
6,07LPZ-115,1701.26,1690.19,11.07,0
7,07LPZ-115,1701.72,1690.78,10.94,0
8,07LPZ-115,1713.84,1703.33,10.52,0
9,07LPZ-115,1552.51,1539.01,13.5,0
10,07LPZ-115,1693.95,1680.19,13.76,0
11,07LPZ-115,1775.91,1762.82,13.1,0
12,07LPZ-115,1680.81,1663.96,16.85,0
13,07LPZ-115,1722.38,1705.23,17.15,0
14,07LPZ-115,1777.51,1759.11,18.4,0
15,07LPZ-115,1799.71,1779.86,19.85,0
16,07LPZ-115,1885.51,1864.98,20.53,0
17,07LPZ-115,2188.91,2165.69,23.22,0
18,07LPZ-115,3174.87,3138.9,35.97,0
19,07LPZ-115,2051.93,2029.85,22.08,0
20,07LPZ-115,2004.77,1985.25,19.52,0
21,07LPZ-115,2185.7,2165.62,20.08,0
22,07LPZ-115,3263.83,3230.63,33.21,0
23,07LPZ-115,2033.01,2012.77,20.24,0
24,07LPZ-115,1878.45,1859.24,19.21,0
1,07LRO-115,1757.73,1717.42,40.31,0
2,07LRO-115,1797.92,1762.2,35.73,0
3,07LRO-115,1663.04,1627.65,35.39,0
4,07LRO-115,1560.05,1508.3,51.75,0
5,07LRO-115,1722.91,1702.79,20.13,0
6,07LRO-115,1708.19,1690.19,18.01,0
7,07LRO-115,1710.52,1690.78,19.74,0
8,07LRO-115,1726.44,1703.33,23.11,0
9,07LRO-115,1593.15,1539.01,54.14,0
10,07LRO-115,1715.04,1680.19,34.85,0
11,07LRO-115,1805.21,1762.82,42.4,0
12,07LRO-115,1713.05,1663.96,49.09,0
13,07LRO-115,1760.08,1705.23,54.86,0
14,07LRO-115,1822.39,1759.11,63.29,0
15,07LRO-115,1853.73,1779.86,73.87,0
16,07LRO-115,1943.49,1864.98,78.51,0
17,07LRO-115,2263.51,2165.69,97.82,0
18,07LRO-115,3277.7,3138.9,138.8,0
19,07LRO-115,2112.17,2029.85,82.32,0
20,07LRO-115,2057.4,1985.25,72.15,0
21,07LRO-115,2245.45,2165.62,79.83,0
22,07LRO-115,3375.88,3230.63,145.26,0
23,07LRO-115,2099.19,2012.77,86.42,0
24,07LRO-115,1927.88,1859.24,68.64,0
1,07OLA-115,1721.63,1717.42,4.22,0
2,07OLA-115,1765.11,1762.2,2.91,0
3,07OLA-115,1631.16,1627.65,3.51,0
4,07OLA-115,1512.25,1508.3,3.95,0
5,07OLA-115,1704.52,1702.79,1.73,0
6,07OLA-115,1692.06,1690.19,1.87,0
7,07OLA-115,1692.53,1690.78,1.75,0
8,07OLA-115,1704.58,1703.33,1.25,0
9,07OLA-115,1541.67,1539.01,2.65,0
10,07OLA-115,1681.44,1680.19,1.25,0
11,07OLA-115,1762.88,1762.82,.06,0
12,07OLA-115,1665.63,1663.96,1.67,0
13,07OLA-115,1706.63,1705.23,1.4,0
14,07OLA-115,1760.75,1759.11,1.64,0
15,07OLA-115,1782.38,1779.86,2.52,0
16,07OLA-115,1867.39,1864.98,2.42,0
17,07OLA-115,2168.68,2165.69,2.99,0
18,07OLA-115,3145.62,3138.9,6.72,0
19,07OLA-115,2034.42,2029.85,4.57,0
20,07OLA-115,1989.26,1985.25,4.01,0
21,07OLA-115,2169.6,2165.62,3.98,0
22,07OLA-115,3238.47,3230.63,7.85,0
23,07OLA-115,2017.6,2012.77,4.83,0
24,07OLA-115,1863.94,1859.24,4.7,0
1,07PAA-115,1731.78,1717.42,14.36,0
2,07PAA-115,1773.29,1762.2,11.09,0
3,07PAA-115,1639.8,1627.65,12.15,0
4,07PAA-115,1520.39,1508.3,12.1,0
5,07PAA-115,1710.84,1702.79,8.06,0
6,07PAA-115,1698.6,1690.19,8.42,0
7,07PAA-115,1698.86,1690.78,8.08,0
8,07PAA-115,1710.68,1703.33,7.35,0
9,07PAA-115,1549.81,1539.01,10.79,0
10,07PAA-115,1690.89,1680.19,10.7,0
11,07PAA-115,1772.08,1762.82,9.26,0
12,07PAA-115,1677.33,1663.96,13.36,0
13,07PAA-115,1718.41,1705.23,13.18,0
14,07PAA-115,1772.84,1759.11,13.73,0
15,07PAA-115,1794.71,1779.86,14.85,0
16,07PAA-115,1879.48,1864.98,14.51,0
17,07PAA-115,2181.33,2165.69,15.64,0
18,07PAA-115,3164.03,3138.9,25.12,0
19,07PAA-115,2045.13,2029.85,15.28,0
20,07PAA-115,1998.58,1985.25,13.33,0
21,07PAA-115,2179.11,2165.62,13.5,0
22,07PAA-115,3254.18,3230.63,23.55,0
